date,kospi,djia,ktb3,usd,gold
20171214,2469.48,24508.66,2.08,1083.5,44370.0
20171215,2482.07,24651.74,2.078,1088.5,44220.0
20171218,2481.88,24792.2,2.09,1089.5,44210.0
20171219,2478.53,24754.75,2.097,1086.0,44300.0
20171220,2472.37,24726.65,2.087,1086.0,44250.0
20171221,2429.83,24782.29,2.094,1080.5,44330.0
20171222,2440.54,24754.06,2.131,1080.0,44250.0
20171226,2427.34,24746.21,2.129,1078.0,44470.0
20171227,2436.67,24774.3,2.15,1075.5,44500.0
20171228,2467.49,24837.51,2.134,1076.0,44840.0
